Index,FloatValue,ADCValue
0,21.6000,2069
1,40.9959,2088
2,51.2494,2099
3,39.9907,2087
4,45.8132,2093
5,17.6727,2065
6,11.2981,2059
7,2.6184,2050
8,-5.0097,2042
9,1.2078,2049
10,27.9028,2075
11,39.3346,2087
12,63.5631,2111
13,58.0210,2106
14,48.5046,2096
15,23.9729,2071
16,9.5583,2057
17,-3.8061,2044
18,5.6402,2053
19,9.4959,2057
20,22.1971,2070
21,51.2083,2099
22,61.7939,2109
23,53.9920,2101
24,53.4039,2101
25,24.9938,2072
26,13.2996,2061
27,-5.9404,2042
28,2.2394,2050
29,6.0431,2054
30,21.7119,2069
31,33.1152,2081
32,47.1223,2095
33,53.3761,2101
34,43.6822,2091
35,24.6092,2072
36,11.0989,2059
37,-8.3068,2039
38,-18.4386,2029
39,-2.4897,2045
40,11.3842,2059
41,36.6546,2084
42,35.9930,2083
43,34.4437,2082
44,35.4137,2083
45,7.2724,2055
46,0.7620,2048
47,-25.9758,2022
48,-28.7718,2019
49,-7.8201,2040
50,-2.4777,2045
51,16.9251,2064
52,40.0583,2088
53,37.1635,2085
54,20.8449,2068
55,6.0690,2054
56,-14.2255,2033
57,-23.9005,2024
58,-18.9910,2029
59,-11.2951,2036
60,-8.9744,2039
61,12.6365,2060
62,35.4025,2083
63,24.1605,2072
64,15.3088,2063
65,-8.1936,2039
66,-17.2169,2030
67,-31.0317,2016
68,-33.6748,2014
69,-13.3271,2034
70,-1.5045,2046
71,31.3233,2079
72,40.8479,2088
73,34.7789,2082
74,18.7011,2066
75,11.6637,2059
76,-14.2893,2033
77,-22.5088,2025
78,-29.6759,2018
79,-15.6732,2032
80,21.2324,2069
81,48.0795,2096
82,105.7595,2153
83,130.7285,2178
84,111.8456,2159
85,26.3749,2074
86,-130.5572,1917
87,-269.8373,1778
88,-342.9836,1705
89,-247.0298,1800
90,21.0375,2069
91,437.3544,2485
92,812.2569,2860
93,933.1243,2981
94,658.2449,2706
95,20.6669,2068
96,-744.9767,1303
97,-1295.9409,752
98,-1360.8540,687
99,-862.9692,1185
100,38.9331,2086
101,924.5345,2972
102,1425.9524,3473
103,1367.7933,3415
104,802.0074,2850
105,19.5761,2067
106,-594.3672,1453
107,-883.5588,1164
108,-759.3660,1288
109,-374.0782,1673
110,27.0785,2075
111,307.6621,2355
112,381.8144,2429
113,321.9593,2369
114,172.2743,2220
115,20.4533,2068
116,-61.5774,1986
117,-79.8785,1968
118,-66.5724,1981
119,-29.7864,2018
120,14.7490,2062
121,39.7399,2087
122,50.4380,2098
123,42.3906,2090
124,41.9289,2089
125,15.1851,2063
126,-2.5784,2045
127,-15.7049,2032
128,-29.5329,2018
129,-15.6655,2032
130,9.2177,2057
131,23.8187,2071
132,42.0779,2090
133,32.4881,2080
134,27.4768,2075
135,5.0138,2053
136,-24.9643,2023
137,-20.9234,2027
138,-34.0997,2013
139,-22.4920,2025
140,-4.2609,2043
141,21.8595,2069
142,24.9344,2072
143,24.4013,2072
144,8.4599,2056
145,-5.7281,2042
146,-12.8290,2035
147,-23.7087,2024
148,-35.2075,2012
149,-22.3284,2025
150,0.9624,2048
151,21.1257,2069
152,42.2215,2090
153,28.4824,2076
154,17.5031,2065
155,6.2410,2054
156,-10.1745,2037
157,-19.0140,2028
158,-23.9212,2024
159,-5.1027,2042
160,18.4720,2066
161,39.0612,2087
162,46.3220,2094
163,40.2851,2088
164,33.1427,2081
165,18.4491,2066
166,10.5290,2058
167,-17.8917,2030
168,-10.0535,2037
169,7.8564,2055
170,18.5135,2066
171,35.2371,2083
172,61.9138,2109
173,56.8696,2104
174,44.1446,2092
175,35.8836,2083
176,3.6248,2051
177,-2.9964,2045
178,-7.3192,2040
179,-0.1986,2047
180,26.1701,2074
181,68.4329,2116
182,104.3499,2152
183,122.8199,2170
184,111.5672,2159
185,21.0622,2069
186,-91.0921,1956
187,-233.4693,1814
188,-291.3250,1756
189,-208.4976,1839
190,23.1784,2071
191,381.6435,2429
192,703.3801,2751
193,819.6550,2867
194,568.5442,2616
